"gla","eng","see-also","gla-keywords","eng-keywords","gla-metaphone","eng-metaphone"
"adharc","horn, so Irish, Old Irish <i>adarc</i>: <i>ad-arc</i>; root <i>arq</i>, defend, as in teasairg, q.v.; Latin <i>areceo</i>, &amp;c. <!-- page 5 -->","","adharc","ad-arc, adarc, ampc, areceo, arq, as, defend, horn, in, irish, latin, old, page, qv, root, so, teasairg","ATRK","ALT, AMPK, AN, ARK, ARS, ARX, AS, ATRK, ATTRK, HRN, KF, LTN, PJ, PK, RT, S, TFNT, TSRK"
"adharcan","lapwing, ""horned bird""; from adharc; Dial. <b>dhaoireagan</b>. Irish <i>adaircín</i> (P.O'C).","","adharcan","adaircín, adharc, bird, dhaoireagan, dial, from, horn, irish, lapw, po'c","ATRKN","ARX, ATRK, ATRSN, FRM, HRN, LP, PK, PRT, TL, TRKN"
"adhart","pillow, so Irish, Early Irish <i>adart</i>: <i>ad-art</i>; <i>art</i>, stone? See airtein.","","adhart","ad-art, adart, airtein, art, earli, irish, pillow, see, so, stone","ATRT","ARL, ART, ARTN, ARX, ATRT, ATTRT, PL, PLF, S, STN"
"adhart, aghart","""progress"" (Dict.). This is a ghost-word, made from the adverbial phrase <i>air adhart</i>, which in Middle Irish is <i>araird</i>, forward, bring forward; in Old Irish <i>arairt</i>, prorsum. Hence it is air+ àrd, q.v.","","adhart, aghart","adhart, adverbi, air, araird, arairt, bring, dict, forward, from, ghost-word, henc, in, irish, it, made, middl, old, phrase, progress, prorsum, qv, this, which, àrd","AART, ATRT","0S, AK, ALT, AN, AR, ARRT, ART, ARX, AT, ATFRP, ATRT, AX, FRM, FRRT, FRS, HNK, KF, KSTTRT, MT, MTL, PRKRS, PRNK, PRRSM, TKT, TS"
"adhastar","halter, Manx <i>eistyr</i>, Irish <i>aghastor</i>, Middle Irish <i>adastar</i>; cf. Welsh <i>eddestl</i>, steed.","","adhastar","adastar, aghastor, cf, eddestl, eistyr, halter, irish, manx, middl, steed, welsh","ATSTR","AASTR, ALX, ARX, ASTR, ATSTL, ATSTR, FLX, HLTR, KF, MNKS, MTL, STT"
"adhbhal","vast, awful, so Irish, Old Irish <i>adbul</i>: <i>*ad-bol-</i>; Indo-European root <i>bhel</i>, swell, as in English <i>bloom</i>, etc. Zimmer compares it with Sanskrit <i>bala</i>, strength. Stokes and Osthoff give root <i>bel</i>, <i>bol</i>, strong, big, Sanskrit <i>balam</i>, strength, Greek @G<i>bélteros</i>, better, Latin <i>de-bilis</i>, weak, Church Slavonic <i>boliji@u</i>, greater; whence bailceach (Osthoff) and bail, buil.","","adhbhal","ad-bol-, adbul, as, aw, bail, bailceach, bala, balam, bel, better, bhel, big, bloom, bol, bolijiu, buil, béltero, church, compar, de-bili, english, etc, give, greater, greek, in, indo-european, irish, it, latin, old, osthoff, root, sanskrit, slavon, so, stoke, strength, strong, swell, vast, weak, whenc, with, zimmer","ATPL","A, A0, AF, AK, ALT, AN, ANK, ANKLX, ANLX, ANTRPN, ARX, AS, AS0F, ASTF, AT, ATK, ATPL, ATTPLL, FK, FST, FT, JF, KF, KMPR, KRK, KRTR, LTN, PK, PL, PLJ, PLM, PLSK, PLSX, PLTR, PTR, RT, S, SL, SLFN, SMR, SNSKRT, STK, STRNK, STRNK0, STRNKT, TPL, XL, XLFN, XRK, XRX"
"adhlac","burial, Irish <i>adhlacadh</i>, Old Irish <i>adnacul</i>, sepulcrum: <i>ad-nank-otlo</i> (<i>*ad-nagtlo-</i>, Zim.): root verb <i>nankô</i>, I bring; Latin <i>nanciscor</i>; further Indo-European <i>nenk</i>, <i>enk</i>, as in thig, q.v.","","adhlac","ad-nagtlo-, ad-nank-otlo, adhlacadh, adnacul, as, bring, burial, enk, further, in, indo-european, irish, latin, nanciscor, nankô, nenk, old, qv, root, sepulcrum, thig, verb, zim","ATLK","0K, ALT, AN, ANK, ANTRPN, ARX, AS, ATLKT, ATNKL, ATTNKTL, ATTNNKKTL, FR0R, FRP, FRTR, KF, LTN, NNK, NNSSKR, PRL, PRNK, RT, SM, SPLKRM, TK"
"adhna","an advocate (Macd.): H.S.D. cfs. Heb. <i>adhon</i>, sustentator.","","adhna","adhon, advoc, cfs, heb, hsd, macd, sustent","ATN","ATFK, ATN, HP, KFS, MKT, SSTNT, ST"
"ag","at, with inf. only; See aig.","","ag","aig, at, inf, onli, see, with","AK","A0, AK, ANF, ANL, AT, FT, S"
"ag, agadh","refusal, doubt; Early Irish <i>ac</i>, refusal, Old Irish <i>acc</i>, no! Welsh <i>acom</i>, to deny. It is onomatopoetic? See agadh.","","ag, agadh","ac, acc, acom, agadh, deni, doubt, earli, irish, it, no, old, onomatopoet, refus, see, to, welsh","AK, AKT","AK, AKM, AKT, ALT, ALX, ANMTPT, ARL, ARX, AT, FLX, N, RFS, S, T, TN, TPT"
"agadh","hesitancy in speech, Breton <i>hak</i>,<i>hakal</i>; cf. Sanskrit <i>ac</i>, speak indistinctly. See ag.","","agadh","ac, ag, breton, cf, hak, hakal, hesit, in, indistinct, sanskrit, see, speak, speech","AKT","AK, AN, ANTSTNKT, HK, HKL, HST, KF, PRTN, S, SNSKRT, SPK, SPX"
"agair","plead, so Irish, Old Irish <i>acre</i> (n.), from <i>ad-gar-</i>; root gar, cry; See goir.","","agair","acr, ad-gar-, cri, from, gar, goir, irish, old, plead, root, see, so","AKR","AKR, ALT, ARX, ATTKRR, FRM, KR, PLT, RT, S"
"agallamh","conversation, Irish <i>agallamh</i>, Old Irish <i>acaldam</i>, for <i>ad-glád-</i>, Old Irish <i>ad-gládur</i>, I converse: for root, See glaodh.","","agallamh","acaldam, ad-glád-, ad-gládur, agallamh, convers, for, glaodh, irish, old, root, see","AKLM","AKLM, AKLTM, ALT, ARX, ATTKLTR, ATTKLTT, FR, KLT, KNFRS, RT, S"
"agh","a hind, Irish <i>agh</i>, Old Irish ag, Welsh <i>ewig</i> (<i>*agîko-</i>), Celtic <i>agos-</i>; Sanskrit <i>ajás</i>, buck; Lithuanian <i>oz@?y/s</i>, goat. Zend. <i>azi</i>, Armenian <i>ezn</i> (St.).","","agh","ag, agh, agos-, agîko-, ajá, armenian, azi, buck, celtic, ewig, ezn, goat, hind, irish, lithuanian, old, ozi, sanskrit, st, welsh, zend","AA","AA, AH, AJ, AJK, AK, AKK, AKSS, ALT, ALX, ARMNN, ARX, AS, ASN, FLX, HNT, KT, L0NN, LTNN, PK, SLTK, SNSKRT, SNT, ST"
"àgh, àdh","happiness, luck, Manx <i>aigh</i>, Irish <i>ágh</i>, Middle Irish <i>ada</i>, <i>buada</i>, late Middle Irish <i>ád</i>, luck, <i>ádh</i>=sonas (P.O'C); root <i>a@-g-</i>, bring; See àghach.","","adh, agh, àdh, àgh","a-g-, ada, aigh, bring, buada, happi, irish, late, luck, manx, middl, po'c, root, see, sona, àghach, ád, ádh, ágh","AA, AT","A, AA, AAK, AAKK, ARX, AT, HP, LK, LT, MNKS, MTL, PK, PRNK, PT, RT, S, SN"
"àghach","warlike, so Irish, Early Irish <i>ágach</i>, <i>ág</i>, war, <i>*a@-gu-</i>; Sanskrit <i>a@-jís</i>, contest; Greek @G<i>a@'gw/v</i>, English <i>antagonist</i>.","","aghach, àghach","a'gwv, a-gu-, a-jí, antagonist, contest, earli, english, greek, irish, sanskrit, so, war, warlik, ág, ágach","AAK","AAJ, AAK, AAKF, AK, AKK, ANKLX, ANLX, ANTKNST, AR, ARL, ARLK, ARX, FR, FRLK, KNTST, KRK, S, SNSKRT"
"aghaib","essay (M`A); See oidheirp.","","aghaib","essay, m`a, oidheirp, see","AAP","AS, ATRP, MM, S"
"aghaidh","face, so Irish, Old Irish <i>aged</i>, <i>*agitâ</i>; Indo-European roog ag, lead. It is usually referred to the root <i>oq</i>, Latin <i>oculus</i>, etc., but the phonetics are unsatisfactory.","","aghaidh","ag, age, agitâ, are, etc, face, indo-european, irish, it, latin, lead, oculus, old, oq, phonet, refer, roog, root, so, to, unsatisfactori, usual","AAT","AJ, AJT, AK, AKLS, AKT, ALT, ANSTSFKTR, ANTRPN, AR, ARX, ASL, AT, ATK, FNT, FS, LT, LTN, RFR, RK, RT, S, T"
"aghann","pan, so Irish, Old Irish, <i>aigen</i>, Celtic <i>aginâ</i>; Sanskrit <i>aga</i>, water jar; Greek @G<i>a@'/ggos</i>, a vessel.","","aghann","a'ggo, aga, aginâ, aigen, celtic, greek, irish, jar, old, pan, sanskrit, so, vessel, water","AAN","AAK, AJN, AK, AKN, ALT, AR, ARX, ATR, FSL, FTR, JR, KRK, PN, S, SLTK, SNSKRT"
"agus","and so Irish, Old Irish <i>acus</i>, <i>ocus</i>, Book of Deer <i>acus</i>, Old Welsh <i>ac</i>, Breton <i>hag</i>; allied is fagus, near, Old Irish <i>ocus</i>, Welsh <i>agos</i>, Breton <i>hogoz</i>: <!-- page 6 --> <i>*aggostu-</i>, <i>ad-gos-</i>; root <i>ges</i>, <i>gos</i>, carry; Latin <i>gero</i>, <i>aggestu-s</i>, mound (Zimmer). Stokes refers it to the root <i>angh</i>, choke, narrow; Celtic <i>aggúst-</i>, from pre-Celtic <i>aghnústu-</i> (Latin <i>angustus</i>), with accent on syllable after the root - <i>gn</i> with the accent on the following vowel being supposed, as in Teutonic, to produce <i>gg</i>. The derivation from root <i>onk</i>, <i>enk</i>, as in thig, is not tenable in view of the Welsh.","","agus","ac, accent, acus, ad-gos-, after, aggestu-, aggostu-, aggúst-, aghnústu-, ago, alli, angh, angustus, as, be, book, breton, carri, celtic, choke, deer, deriv, enk, fagus, follow, from, gero, ges, gg, gn, gos, hag, hogoz, in, irish, it, latin, mound, narrow, near, not, ocus, of, old, on, onk, page, pre-celt, produc, refer, root, so, stoke, suppos, syllabl, tenabl, teuton, thig, to, view, vowel, welsh, with, zimmer","AKS","0K, A0, AANST, AF, AFTR, AK, AKS, AKSNT, AKST, AKSTT, AL, ALT, ALX, AN, ANK, ANKSTS, ARX, AS, AT, ATTKSS, F, FF, FKS, FL, FLF, FLX, FRM, FT, HK, HKS, JR, JS, K, KR, KS, LTN, MNT, N, NR, NRF, NT, P, PJ, PK, PRSLT, PRTK, PRTN, RFR, RT, S, SLPL, SLTK, SMR, SPS, STK, T, TK, TNPL, TR, TRF, TTN, XK"
"ai","sheep, swan (Carm.):","","ai","carm, sheep, swan","A","KRM, SN, XN, XP"
"aibheil","huge (M`E.). See adhbhal.","","aibheil","adhbhal, huge, m`e, see","APL","ATPL, HJ, HK, MM, S"
"aibheis","sea, the deep; Irish <i>aibheis</i>, sea, abyss; Early Irish <i>aibéis</i>, sea. This Stokes refers to a Celtic <i>abensi-s</i>, <i>abhent-ti-s</i>; root abh, as in abhainn. But cf. Old Irish <i>abis</i>, from Latin <i>abyssus</i>: Welsh <i>affwys</i>, bottomless pit.","","aibhei","abensi-, abh, abhainn, abhent-ti-, abi, abyss, abyssus, affwi, aibhei, aibéi, as, bottomless, celtic, cf, deep, earli, from, in, irish, latin, old, pit, refer, root, sea, stoke, this, to, welsh","AP","0S, AF, ALT, ALX, AN, AP, APN, APNS, APNTTT, APS, APSS, ARL, ARX, AS, FLX, FRM, KF, LTN, PT, PTMLS, RFR, RT, S, SLTK, STK, T, TP, TS"
"aibheis","boasting; <b>aibhsich</b>, esaggerate; Irish <i>aibhseach</i>, boasting: from aibheis? Another form of <b>aibhsich</b> is <b>aillsich</b>.","","aibhei","aibhei, aibhseach, aibhsich, aillsich, anoth, boast, esagger, form, from, irish, of","AP","AF, ALSK, ALSX, AN0, ANT, AP, APSK, APSX, ARX, ASKR, FRM, PST"
"aibhist","an old ruin (Stew.):","","aibhist","old, ruin, stew","APST","ALT, RN, ST, STF"
"aibhistear","the Devil; another form of abharsair, q.v.","","aibhistear","abharsair, anoth, devil, form, of, qv","APSTR","AF, AN0, ANT, APRSR, FRM, KF, TFL"
"aibhse","spectre, so Irish: See taibhse.","","aibhs","irish, see, so, spectr, taibhs","APS","ARX, S, SPKTR, TPS"
"aibidil","alphabet, Irish <i>aibghitir</i>, Old Irish <i>abbgitir</i>, from Late Latin <i>abgetorium</i>, <i>abecedarium</i>, the a, <i>b</i>, <i>c</i>, <i>d</i>, ar alphabet. A dialectic form, <b>aibirsidh</b>, comes from the old learning system, beginning ""A per se"", a by itself= a, English <i>apersie</i>. Analogised to <i>caibideal</i> (Meyer).","","aibidil","abbgitir, abecedarium, abgetorium, aibghitir, aibirsidh, alphabet, analogis, apersi, ar, begin, by, caibid, come, dialect, english, form, from, irish, itself, late, latin, learn, meyer, old, per, se, system, to","APTL","ALFPT, ALT, ANKLX, ANLJS, ANLKS, ANLX, APJTR, APKTR, APKTRM, APRS, APRST, APSTRM, AR, ARX, ATSLF, FRM, KM, KPT, LRN, LT, LTN, MR, P, PJN, PKN, PR, S, SSTM, T, TLKT"
"aice","proximity, Irish <i>aice</i>; See taic.","","aic","aic, irish, proxim, see, taic","AK","AK, ARX, PRKSM, S, TK"
"aice","a lobster's burrow, also faiche.","","aic","also, burrow, faich, lobster","AK","ALS, FK, FX, LPSTR, PR, PRF"
"àicheadh","deny, Irish <i>aithcheo</i>, contradicting, Middle Irish <i>aithceód</i>: <i>*ati-ceud-</i>(?), ""go back on""; cf. Old Irish <i>atchuaid</i>, exposui, which Stokes refers to the root of chaidh, went, q.v.","","aicheadh, àicheadh","aithceód, aithcheo, atchuaid, ati-ceud-, back, cf, chaidh, contradict, deni, exposui, go, irish, middl, of, old, on, qv, refer, root, stoke, to, went, which","AKT, AXT","A0ST, A0X, AF, AK, AKSPS, ALT, AN, ANT, ARX, ATK, ATST, ATSTT, AX, AXT, FNT, K, KF, KNTRTKT, MTL, PK, RFR, RT, STK, T, TN, XT"
"aicheamhail","reprisal; cf. Irish <i>athghabháil</i>; <i>ath+gabhail</i>.","","aicheamhail","athgabhail, athghabháil, cf, irish, repris","AKML, AXML","A0KPL, ARX, ATKPL, KF, RPRS"
"++aicme","race, Irish, Old Irish <i>aicme</i>, Welsh ach, pedigree, <i>*akk-</i>, from <i>ak</i>, edge; Latin <i>acies</i>? Stokes cfs. Sanskrit <i>anka</i>, lap, but this would give Gaelic <i>àk-</i> (a@-) and a Welsh <i>anc</i>. Norse <i>átt</i>, family, German <i>acht</i>, property.","","aicm","a-, ach, acht, aci, aicm, ak, akk-, anc, anka, cfs, edg, famili, from, gaelic, german, give, irish, lap, latin, nors, old, pedigre, properti, race, sanskrit, stoke, this, welsh, would, àk-, átt","AKM","0S, AA, AK, AKK, AKM, AKT, ALT, ALX, ANK, ARX, AS, AT, ATK, AX, FLT, FLX, FML, FRM, JF, JRMN, KF, KFS, KLK, KRMN, LP, LTN, NRS, PRPRT, PTKR, RS, SNSKRT, STK, TS"
"aidheam","joyous carol:","","aidheam","carol, joyous","ATM","AS, JS, KRL"
"aidich","confess, Irish <i>admhuighim</i>, Old Irish <i>addaimim</i>, Welsh <i>addef</i>: <i>ad-dam-</i>; root <i>dam</i>; Latin <i>domo</i>, English <i>tame</i>.","","aidich","ad-dam-, addaimim, addef, admhuighim, confess, dam, domo, english, irish, latin, old, root, tame, welsh","ATK, ATX","ALT, ALX, ANKLX, ANLX, ARX, ATF, ATMM, ATTTMM, FLX, KNFS, LTN, RT, TM"
"aifrionn","mass, so Irish, Early Irish <i>oifrend</i>, Welsh <i>offeren</i>; from Latin <i>offerendum</i> (English <i>offer</i>).","","aifrionn","earli, english, from, irish, latin, mass, offer, offeren, offerendum, oifrend, so, welsh","AFRN","AFR, AFRN, AFRNT, AFRNTM, ALX, ANKLX, ANLX, ARL, ARX, FLX, FRM, LTN, MS, S"
"aig","at, Irish ag, Old Irish <i>oc</i>; for root, See agus.","","aig","ag, agus, at, for, irish, oc, old, root, see","AK","AK, AKS, ALT, ARX, AT, FR, RT, S"
"àigeach","young or entire horse; also <b>òigeach</b>= òg+ each, q.v. Middle Irish <i>óc-ech</i>, young steed (Eriu@+<i>2</i> 11).","","aigeach, àigeach","11, also, each, entir, eriu, hors, irish, middl, or, qv, steed, young, òg, òigeach, óc-ech","AJX, AKK","AJX, AK, AKK, AKKK, AKKX, ALS, ANK, ANTR, AR, ARX, AX, HRS, KF, MTL, STT"
"aigeann","the deep, Irish <b>àigeun</b>, Early Irish <i>oician</i>, Welsh <i>eigion</i>: from Latin <i>oceanus</i>, English <i>ocean</i>. There is also a by-form <b>aigeal</b>.","","aigeann","aigeal, also, by-form, deep, earli, eigion, english, from, irish, latin, ocean, oceanus, oician, there, welsh, àigeun","AJN, AKN","0R, AJL, AJN, AKL, AKN, ALS, ALX, ANKLX, ANLX, ARL, ARX, ASN, ASNS, AXN, FLX, FRM, LTN, PFRM, TP, TR"
"aigeannach","spirited, Early Irish <i>aignech</i>; See aigneadh. Irish <i>aigeanta</i>, meditative. <!-- page 7 -->","","aigeannach","aigeanta, aigneadh, aignech, earli, irish, medit, page, see, spirit","AJNK, AKNK","AJNT, AKNK, AKNT, ANT, ANX, ARL, ARX, MTT, PJ, PK, S, SPRT"
"aighear","mirth, Manx <i>aigher</i>; <i>*ati-gar-</i>; See gàirdeachas for root. Yet Irish <i>aiereach</i>, merry, aerial, from <i>aier</i>, air, from Latin <i>aer</i>, makes the matter doubtful. Irish <i>aerach</i> (Hyde), merry, airy. Evidently the Gaelic is borrowed from the Latin","","aighear","aer, aerach, aerial, aier, aiereach, aigher, air, airi, ati-gar-, borrow, doubt, evid, for, from, gaelic, gàirdeacha, hyde, irish, latin, make, manx, matter, merri, mirth, root, see, yet","AR","A, AFT, AR, ARK, ARL, ARX, AT, ATKRR, FR, FRM, HT, KLK, KRTK, KRTX, LTN, MK, MNKS, MR, MR0, MRT, MTR, PR, PRF, RT, S, TPT"
"aigilean","ear-ring, tassel; cf. Scottish <i>aiglet</i>, tagged point, jewel in one's cap; <i>eglie</i>, needlework, from French <i>aiguille</i>, needle; Latin <i>acus</i>.","","aigilean","acus, aiglet, aiguill, cap, cf, ear-r, egli, french, from, in, jewel, latin, needl, needlework, one, point, scottish, tag, tassel","AJLN, AKLN","AKL, AKLT, AKS, AL, AN, ARRR, FRM, FRNK, FRNX, JL, KF, KP, LTN, NTL, NTLRK, PNT, SKTX, TK, TSL"
"aigne","the swift, anything quick (Carm.):","","aign","anyth, carm, quick, swift","AKN, AN","AN0, ANT, KK, KRM, SFT, XFT"
"aigne, aigneadh","mind, so Irish, Old Irish, <i>aicned</i>: <i>ád-gn-eto-</i>, root <i>gna@-</i>, know, Greek @G<i>gignw/skw</i>, English <i>know</i>. Stokes refers it to the root of ++aicme, as he gives it. Ascoli makes the root <i>cen</i>, as in cineal. The Gaelic <i>g</i> is against any root with <i>c</i>.","","aign, aigneadh","against, aicm, aicn, ani, as, ascoli, cen, cineal, english, gaelic, gignwskw, give, gna-, greek, he, in, irish, it, know, make, mind, of, old, refer, root, so, stoke, to, with, ád-gn-eto-","AKN, AKNT, AN, ANT","A0, AF, AKM, AKN, AKNST, ALT, AN, ANKLX, ANLX, ARX, AS, ASKL, AT, ATTKNKNT, ATTNNT, FT, H, JF, JKNSK, KF, KKNSK, KLK, KRK, MK, MNT, N, NF, RFR, RT, S, SN, SNL, STK, T"
"àil","will; better àill, q.v.","","ail, àil","better, qv, will, àill","AL","AL, FL, KF, PTR"
"ail, aileadh, ailt","a mark, impression, Irish oil, mark (O'R), Middle and Early Irish <i>aile</i>, fence, boundary (Meyer). A <i>t</i> stem: <i>oiledaib</i>, <i>*al-et</i>.","","ail, aileadh, ailt","ail, al-et, boundari, earli, fenc, impress, irish, mark, meyer, middl, o'r, oil, oiledaib, stem","AL, ALT","AAR, AL, ALLT, ALTP, AMPRS, ARL, ARX, FNK, MR, MRK, MTL, PNTR, STM"
"++ail","rock, Irish and Old Irish ail, <i>*alek-</i>, allied to German <i>fels</i>; See further under mac-talla.","","ail","ail, alek-, alli, fel, further, german, irish, mac-talla, old, rock, see, to, under","AL","AL, ALKK, ALT, ANTR, ARX, FL, FR0R, FRTR, JRMN, KRMN, MKKTL, RK, S, T"
"ailbheag","ring; See failbhe.","","ailbheag","failbh, ring, see","ALPK","FLP, RNK, S"
"ailbhinn","flint, precipice; from ++ail, rock.","","ailbhinn","ail, flint, from, precipic, rock","ALPN","AL, FLNT, FRM, PRSPK, RK"
"àile","air, scent, Early Irish <i>aél</i>, <i>ahél</i>; Welsh <i>avel</i>, Cornish, Breton, <i>awel</i>, wind; Greek @G<i>a@'élla</i> (St. Lec.), storm; <i>*avel-</i>, root <i>ave</i>, <i>ve</i>, wind; Latin <i>au-ra</i>, Greek @G<i>a@'c/r</i>, English air.","","ail, àile","a'cr, a'élla, ahél, air, au-ra, ave, avel, avel-, awel, aél, breton, cornish, earli, english, greek, irish, latin, lec, root, scent, st, storm, ve, welsh, wind","AL","AAKR, AAL, AF, AFL, AFLL, AHL, AL, ALX, ANKLX, ANLX, ANT, AR, ARL, ARX, F, FLX, FNT, KRK, KRNX, LK, LTN, PRTN, RT, SNT, ST, STRM"
"aileag","hiccup, Irish fail; cf. Latin <i>ha@-lo</i>, breathe, English in-<i>hale</i>.","","aileag","breath, cf, english, fail, ha-lo, hale, hiccup, in-, irish, latin","ALK","ANKLX, ANLX, ANN, ARX, FL, HH, HKP, HL, KF, LTN, PR0, PRT"
"àilean","a green: <i>*ag-li-</i>? Cf. Latin <i>ager</i>.","","ailean, àilean","ag-li-, ager, cf, green, latin","ALN","AJR, AKKL, AKR, KF, KRN, LTN"
"àilear","porch:","","ailear, àilear","porch","ALR","PRK, PRX"
"ailis","blemish, reproach, Old Irish ail, disgrace, Gothic <i>agls</i>?","","aili","agl, ail, blemish, disgrac, gothic, irish, old, reproach","AL","AKL, AL, ALT, ARX, K0K, KTK, PLMX, RPRK, RPRX, TSKRK"
"ailis","mimicing (Wh.); bad atharrais, <i>aith-lis</i>, ( M`A.) aithris.","","aili","aith-li, aithri, atharrai, bad, m`a, mimic, wh","AL","A, A00, A0R, ATR, ATT, MM, MMK, PT"
"àill","desire, so Irish, Old Irish <i>áil</i>, Welsh <i>ewyll</i>, Breton <i>ioul</i>, Celtic <i>avillo-</i>; root <i>av</i>, desire, Latin <i>aveo</i>, English <i>avidity</i>. <i>áil</i>, pleasant, <i>*pagli</i>, English fair ( St. Bez.@+<i>20</i> 24).","","aill, àill","20, 24, av, aveo, avid, avillo-, bez, breton, celtic, desir, english, ewyl, fair, ioul, irish, latin, old, pag, pleasant, root, so, st, welsh, áil","AL","AF, AFL, AFT, AL, ALT, ALX, ANKLX, ANLX, ARX, FLX, FR, LTN, PK, PLSNT, PRTN, PS, RT, S, SLTK, ST, TSR"
"àille","beauty, Early Irish <i>álde</i>, for <i>álnde</i>; See àlainn.","","aill, àill","beauti, earli, for, irish, see, àlainn, álde, álnde","AL","ALN, ALNT, ALT, ARL, ARX, FR, PT, S"
"àilleas, àilgheas","will, desire; Irish <i>áilgheas</i>, Early Irish <i>ailges</i>, <i>áilgidim</i>, I desire; from <i>áil</i> and geas, request, q.v.","","ailghea, aillea, àilghea, àillea","ailg, desir, earli, from, gea, irish, qv, request, will, áil, áilghea, áilgidim","AL, ALK","AL, ALJTM, ALK, ALKTM, ARL, ARX, FL, FRM, J, K, KF, RKST, TSR"
"ailleagan","root of the ear, hole of the ear; also faillean, q.v.","","ailleagan","also, ear, faillean, hole, of, qv, root","ALKN","AF, ALS, AR, FLN, HL, KF, RT"
"àilleagan","darling, so Irish; from àille, q.v.","","ailleagan, àilleagan","darl, from, irish, qv, so, àill","ALKN","AL, ARX, FRM, KF, S, TRL"
"aillean","elecampane: cf. Greek @G<i>e`leníon</i>, Latin <i>inula</i>. Middle Irish <i>eillinn</i> (Rev.Celt.@+<i>9</i> 231). inula quam <i>alain</i> rustici vocant (Isidor).","","aillean","231, alain, cf, e`leníon, eillinn, elecampan, greek, inula, irish, isidor, latin, middl, quam, revcelt, rustici, vocant","ALN","AALNN, ALKMPN, ALN, ANL, ARX, ASTR, FKNT, KF, KM, KRK, LTN, MTL, RFSLT, RSTS"
"ailleant","shy, delicate; Middle Irish ail (O'Cl.), shamefaced.","","ailleant","ail, delic, irish, middl, o'cl, shamefac, shi","ALNT","AAKL, AL, ARX, MTL, TLK, X, XMFK"
